AC9MAS8A0|A0|By the end of Year 9,
AC9MAS8A1|A1|students recognise and use rational and irrational numbers to solve problems.
AC9MAS8A2|A2|They extend and apply the exponent laws with positive integers to variables.
AC9MAS8A3|A3|Students expand binomial products, and factorise monic quadratic expressions.
AC9MAS8A4|A4|They find the distance between 2 points on the Cartesian plane, and the gradient and midpoint of a line segment.
AC9MAS8A5|A5|Students use mathematical modelling to solve problems involving change in financial and other applied contexts, choosing to use linear and quadratic functions.
AC9MAS8A6|A6|They graph quadratic functions and solve monic quadratic equations with integer roots algebraically.
AC9MAS8A7|A7|Students describe the effects of variation of parameters on functions and relations, using digital tools, and make connections between their graphical and algebraic representations.
AC9MAS8B1|B1|They apply formulas to solve problems involving the surface area and volume of right prisms and cylinders.
AC9MAS8B2|B2|Students solve problems involving ratio, similarity and scale in two-dimensional situations.
AC9MAS8B3|B3|They determine percentage errors in measurements.
AC9MAS8B4|B4|Students apply Pythagoras’ theorem and use trigonometric ratios to solve problems involving right-angled triangles.
AC9MAS8B5|B5|They use mathematical modelling to solve practical problems involving direct proportion, ratio and scale, evaluating the model and communicating their methods and findings.
AC9MAS8B6|B6|Students express small and large numbers in scientific notation.
AC9MAS8B7|B7|They apply the enlargement transformation to images of shapes and objects, and interpret results.
AC9MAS8B8|B8|Students design, use and test algorithms based on geometric constructions or theorems.
AC9MAS8C1|C1|They compare and analyse the distributions of multiple numerical data sets, choose representations, describe features of these data sets using summary statistics and the shape of distributions, and consider the effect of outliers.
AC9MAS8C2|C2|Students explain how sampling techniques and representation can be used to support or question conclusions or to promote a point of view.
AC9MAS8C3|C3|They determine sets of outcomes for compound events and represent these in various ways.
AC9MAS8C4|C4|Students assign probabilities to the outcomes of compound events.
AC9MAS8C5|C5|They design and conduct experiments or simulations for combined events using digital tools.
